source	original_name	split	final_name	composition
external	coco_val2017_000000549674.jpg	train	external_coco_val2017_000000549674.jpg	mouse_only
external	coco_train2017_000000407216.jpg	train	external_coco_train2017_000000407216.jpg	both
external	coco_train2017_000000488558.jpg	train	external_coco_train2017_000000488558.jpg	both
external	coco_train2017_000000197600.jpg	train	external_coco_train2017_000000197600.jpg	mouse_only
external	coco_train2017_000000337146.jpg	train	external_coco_train2017_000000337146.jpg	bottle_only
external	coco_train2017_000000050099.jpg	train	external_coco_train2017_000000050099.jpg	mouse_only
external	coco_train2017_000000396984.jpg	train	external_coco_train2017_000000396984.jpg	both
external	coco_train2017_000000108575.jpg	train	external_coco_train2017_000000108575.jpg	bottle_only
external	coco_train2017_000000214250.jpg	train	external_coco_train2017_000000214250.jpg	bottle_only
external	coco_train2017_000000577718.jpg	train	external_coco_train2017_000000577718.jpg	bottle_only
external	coco_train2017_000000352794.jpg	train	external_coco_train2017_000000352794.jpg	bottle_only
external	coco_val2017_000000021503.jpg	train	external_coco_val2017_000000021503.jpg	mouse_only
external	coco_train2017_000000260360.jpg	train	external_coco_train2017_000000260360.jpg	mouse_only
external	coco_train2017_000000493428.jpg	train	external_coco_train2017_000000493428.jpg	bottle_only
external	coco_val2017_000000301421.jpg	train	external_coco_val2017_000000301421.jpg	mouse_only
external	coco_train2017_000000467973.jpg	train	external_coco_train2017_000000467973.jpg	bottle_only
external	coco_train2017_000000261843.jpg	train	external_coco_train2017_000000261843.jpg	bottle_only
external	coco_train2017_000000207077.jpg	train	external_coco_train2017_000000207077.jpg	mouse_only
external	coco_train2017_000000096757.jpg	train	external_coco_train2017_000000096757.jpg	mouse_only
external	coco_val2017_000000486040.jpg	train	external_coco_val2017_000000486040.jpg	mouse_only
external	coco_train2017_000000224056.jpg	train	external_coco_train2017_000000224056.jpg	mouse_only
external	coco_val2017_000000194724.jpg	train	external_coco_val2017_000000194724.jpg	bottle_only
external	coco_train2017_000000466580.jpg	train	external_coco_train2017_000000466580.jpg	both
external	coco_train2017_000000579240.jpg	train	external_coco_train2017_000000579240.jpg	bottle_only
external	coco_train2017_000000053410.jpg	train	external_coco_train2017_000000053410.jpg	mouse_only
external	coco_train2017_000000051152.jpg	train	external_coco_train2017_000000051152.jpg	mouse_only
external	coco_train2017_000000090782.jpg	train	external_coco_train2017_000000090782.jpg	bottle_only
external	coco_train2017_000000471861.jpg	train	external_coco_train2017_000000471861.jpg	bottle_only
external	coco_train2017_000000143123.jpg	train	external_coco_train2017_000000143123.jpg	mouse_only
