file,selection_group,split,coco_image_id,coco_url,flickr_url,license_name,license_url,boxes,blur_score,white_ratio,original_sha256
coco_train2017_000000509607.jpg,both,train2017,509607,http://images.cocodataset.org/train2017/000000509607.jpg,http://farm3.staticflickr.com/2263/2038951439_e0df3015fe_z.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,3,858.72,0.0193,e4884bca0372c0685abd422ea0cd81e6bb18cef3d30e8132c6875f207ea881f4
coco_train2017_000000245971.jpg,both,train2017,245971,http://images.cocodataset.org/train2017/000000245971.jpg,http://farm3.staticflickr.com/2354/2088893255_a6663f57d3_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,2,2060.96,0.0070,aed6090bef22d82548dddd71aa107802335a012ab9b2f167da6729ab2688e7ac
coco_train2017_000000527649.jpg,both,train2017,527649,http://images.cocodataset.org/train2017/000000527649.jpg,http://farm1.staticflickr.com/53/152030230_a9689776e2_z.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,3,1716.08,0.0018,70d94a32d884724465cadfcd444636343f281935ebc8e2ea4c13999755879a6c
coco_val2017_000000520077.jpg,both,val2017,520077,http://images.cocodataset.org/val2017/000000520077.jpg,http://farm1.staticflickr.com/189/510193497_2b98403243_z.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,2,3036.96,0.0000,7e4985f7c75dd8940526cef636179af20151b3af7b7653f6986eed71f32488b0
coco_train2017_000000098694.jpg,both,train2017,98694,http://images.cocodataset.org/train2017/000000098694.jpg,http://farm1.staticflickr.com/200/492381360_3bc644d60c_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,7,1074.32,0.0477,4c0da9e1911019d333d9b918c3b6fa27b74c2f2ce5e7dc93ad08177802a24e9d
coco_train2017_000000449528.jpg,both,train2017,449528,http://images.cocodataset.org/train2017/000000449528.jpg,http://farm1.staticflickr.com/5/6632027_eb0c4378c6_z.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,2,700.31,0.0000,70025286a95cf15b59cae595fb37582f9e2c129c4fbed9d926aeadc3c6e6cfa1
coco_train2017_000000009760.jpg,both,train2017,9760,http://images.cocodataset.org/train2017/000000009760.jpg,http://farm7.staticflickr.com/6075/6031368476_be7e72beeb_z.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,12,850.25,0.0028,acaac00b2ba7a3cf71514354d8fdfcfd0f3042197fadc66f8700a553ae509548
coco_train2017_000000182362.jpg,both,train2017,182362,http://images.cocodataset.org/train2017/000000182362.jpg,http://farm3.staticflickr.com/2892/9375295111_12b0db2cb9_z.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,2,1896.42,0.0046,8369d0a0ed6983a00d3dc316963b4cf485dcab16f4d229245d52b23c41973b9b
coco_train2017_000000518324.jpg,both,train2017,518324,http://images.cocodataset.org/train2017/000000518324.jpg,http://farm2.staticflickr.com/1387/1260950297_a9119627a6_z.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,3,654.02,0.0000,35f06218421ff71675082b1c71d53693cc6ad5688c7b058a44f6982b3f7cf560
coco_train2017_000000163692.jpg,both,train2017,163692,http://images.cocodataset.org/train2017/000000163692.jpg,http://farm1.staticflickr.com/26/103498761_18db7ea307_z.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,2,1391.50,0.0184,29d679d5ea56e2db07b02b7b9c58173ea9a4125e690d5e7efdfad846240c1f4f
coco_train2017_000000373574.jpg,both,train2017,373574,http://images.cocodataset.org/train2017/000000373574.jpg,http://farm5.staticflickr.com/4030/4537135002_0f21c2de1f_z.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,4,915.47,0.0000,460a8ffd0bfbf3fb7bfa5276b583148b6dee088723b565c7087e73c4490e0f7b
coco_train2017_000000297236.jpg,both,train2017,297236,http://images.cocodataset.org/train2017/000000297236.jpg,http://farm5.staticflickr.com/4148/5148536665_0aac52c29f_z.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,6,2414.88,0.1893,346f5e06cf88254c19a556af76f259ea95489bd64c3e58536b47b23df900d8f4
coco_train2017_000000097964.jpg,both,train2017,97964,http://images.cocodataset.org/train2017/000000097964.jpg,http://farm4.staticflickr.com/3730/8807163456_07cb045f4c_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,2,607.54,0.0010,4927ba9207b6decf8cbb9cf34c671d1c6eb5da80804f21181d25e309cb6a6352
coco_train2017_000000237853.jpg,both,train2017,237853,http://images.cocodataset.org/train2017/000000237853.jpg,http://farm4.staticflickr.com/3101/3237159405_2530304691_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,2,2686.30,0.0092,11b33fe5903d659111462487af9fd56dc44ff5002aeb589bbec68ff436a502f4
coco_train2017_000000331146.jpg,both,train2017,331146,http://images.cocodataset.org/train2017/000000331146.jpg,http://farm4.staticflickr.com/3594/3321655388_364c3f38de_z.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,2,814.36,0.0001,d2393e05114cd03e9c9d64aa2363a4980ec9394db9758aa45868af1541ac1df8
coco_train2017_000000168546.jpg,both,train2017,168546,http://images.cocodataset.org/train2017/000000168546.jpg,http://farm1.staticflickr.com/129/354633660_519e875f3f_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,2,832.75,0.0000,df591874f9bf9784ea912b080ab824bdbbd8ac66012c8ca0c37d6359733e5d04
coco_train2017_000000488558.jpg,both,train2017,488558,http://images.cocodataset.org/train2017/000000488558.jpg,http://farm4.staticflickr.com/3046/3019101110_08897afec4_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,2,726.38,0.0000,047500fa128789f0c20f94c37c8069d849e8f1a4bd409a62de204caf78d9431e
coco_train2017_000000505552.jpg,both,train2017,505552,http://images.cocodataset.org/train2017/000000505552.jpg,http://farm9.staticflickr.com/8469/8147141891_e6e6cc0b31_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,8,1824.06,0.0162,f094532f8e1a49e1b422a1451a0e85a60eececde937d936d46a0f00c3f6264f4
coco_train2017_000000286774.jpg,both,train2017,286774,http://images.cocodataset.org/train2017/000000286774.jpg,http://farm4.staticflickr.com/3289/3074427383_9a6edf25ea_z.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,10,2318.29,0.0000,b7f9457b6995e771331f3ab16343627da071caf63489d28e6da297626252042f
coco_train2017_000000111341.jpg,both,train2017,111341,http://images.cocodataset.org/train2017/000000111341.jpg,http://farm4.staticflickr.com/3500/3254364533_5dc216fd0c_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,9,2180.77,0.0000,c3f0f7cc512bb0d812622abe8ded88c4131586a0c3cb0e03e03e994fcdcdcbaa
coco_train2017_000000245451.jpg,both,train2017,245451,http://images.cocodataset.org/train2017/000000245451.jpg,http://farm3.staticflickr.com/2085/2283512742_ab2af00f75_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,5,1635.65,0.0209,4bc6c940dc5f100a2bd77be9ec7565f549d911a51f95e5f1d723d6a0809a708e
coco_train2017_000000010870.jpg,both,train2017,10870,http://images.cocodataset.org/train2017/000000010870.jpg,http://farm4.staticflickr.com/3591/3441466577_010868610d_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,2,3506.77,0.0084,a325cce0e30dd95de74f0cc921ea0c7f4e87024d4e0e80c4a1f61359381e69fc
coco_train2017_000000311827.jpg,both,train2017,311827,http://images.cocodataset.org/train2017/000000311827.jpg,http://farm5.staticflickr.com/4016/4425953913_a948f344db_z.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,3,3678.25,0.0001,ce965c03aa055ee1f418dc9c937ae938805c1a58f3a6d7f4803c29433cdf7f03
coco_train2017_000000548375.jpg,both,train2017,548375,http://images.cocodataset.org/train2017/000000548375.jpg,http://farm4.staticflickr.com/3635/3573883296_e9c9cafd00_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,4,1258.07,0.0300,32c284a5efc516463487dc2c50a500f27937ccf64ac61b2e67adaf7b8003a068
coco_train2017_000000155107.jpg,both,train2017,155107,http://images.cocodataset.org/train2017/000000155107.jpg,http://farm5.staticflickr.com/4075/4746425318_d345544354_z.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,4,2084.17,0.0192,02e6eff2e5fa539cf751123089969caa331eb23858576d78144f0e2fe14966a3
coco_train2017_000000354746.jpg,both,train2017,354746,http://images.cocodataset.org/train2017/000000354746.jpg,http://farm1.staticflickr.com/160/334989575_9df1cff817_z.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,4,641.98,0.0029,fb862b11dd645ef7e6c2b4b6ad5c370614cccb1d711a9afeddec533a645cc3fb
coco_train2017_000000573997.jpg,both,train2017,573997,http://images.cocodataset.org/train2017/000000573997.jpg,http://farm3.staticflickr.com/2061/2266736729_6a7c3851ed_z.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,5,1728.69,0.0322,0dc3d6b4884a4ed426e09af2fb10f2b6e5c2aef905985d27ca35a7c8145a9deb
